,Longitude,Latitude,LGA,RadiusInKM,AccidentCount,RoadName,RoadType,PostcodeNo
1186,149.25411,-37.56868,EAST GIPPSLAND,0.5,2,Princes,Highway,3890
1187,144.64353,-36.2863,CAMPASPE,0.0,1,Lowe,Road,3561
1188,144.75037,-36.85375,BENDIGO,0.29,2,Donellys,Lane,3523
1189,145.06813,-36.3871,SHEPPARTON,0.06,2,Fenaughty,Road,3620
1190,146.99691,-38.172,WELLINGTON,0.0,1,Rosedale-longford,Road,3851
1191,146.08799,-36.6639,BENALLA,0.0,1,Benalla-tatong,Road,3673
1192,145.14382,-37.0944,MITCHELL,0.0,1,Upper goulburn,Road,3659
1193,147.20436,-37.51562,WELLINGTON,0.0,1,Dargo,Road,3862
1194,143.73344,-36.96285,CENTRAL GOLDFIELDS,1.44,4,Bet bet creek,Road,3465
1195,146.5645,-38.43199,WELLINGTON,0.1,2,Bulga park,Road,3971
1196,141.71579,-37.53176,SOUTHERN GRAMPIANS,0.0,1,Coleraine-balmoral,Road,3315
1197,145.44963,-37.211,MURRINDINDI,0.0,1,Goulburn valley,Highway,3717
1198,147.58388,-37.348279999999995,EAST GIPPSLAND,0.0,1,Angora range,Road,3896
1199,147.16619,-37.97875,WELLINGTON,0.0,1,Stratford-bengworden,Road,3862
1200,147.05898,-38.21963,WELLINGTON,0.0,1,South gippsland,Highway,3851
1201,146.68042,-38.06953,WELLINGTON,0.0,1,Sale-toongabbie,Road,3856
1202,142.75874,-37.71195,ARARAT,0.0,1,Glenelg,Highway,3379
1203,146.92893999999998,-37.96678,WELLINGTON,0.44,2,Traralgon-maffra,Road,3859
1204,145.78339,-36.716879999999996,STRATHBOGIE,0.68,2,Upper boho,Road,3669
1205,146.36196,-38.34984,LATROBE,0.0,1,Middle creek,Road,3869
1207,147.18555,-38.36497,WELLINGTON,0.91,3,Seaspray,Road,3851
1208,147.88261,-37.7244,EAST GIPPSLAND,0.0,1,Bruthen-nowa nowa,Road,3885
1209,145.03918000000002,-36.99518,MITCHELL,0.41,2,Salamaua,Street,3662
1210,144.32546000000002,-37.44727,MOORABOOL,0.95,3,Old blackwood,Road,3458
1211,146.00915,-36.77762,BENALLA,0.23,2,Midland,Highway,3673
1212,143.93606,-37.61208,MOORABOOL,1.42,4,Butlers,Road,3352
1213,146.05764,-38.68587,SOUTH GIPPSLAND,0.08,2,Meeniyan-promontory,Road,3959
1214,141.62803,-38.167120000000004,GLENELG,0.4,2,Princes,Highway,3304
1215,143.26445,-36.94076,PYRENEES,0.55,2,Centre,Road,3477
1216,146.08332,-38.22039,BAW BAW,0.0,1,Roberts,Road,3823
1217,145.98493,-38.13238,BAW BAW,0.05,2,Lillico,Road,3820
1218,147.13836,-37.78515,WELLINGTON,0.0,1,Letter box,Road,3860
1219,143.1894,-38.43345,CORANGAMITE,1.17,5,Timboon-colac,Road,3266
1220,144.05011000000002,-38.15786,SURF COAST,0.0,1,Peels,Road,3321
1221,145.13804,-37.31023,MITCHELL,2.31,10,Main mountain,Road,3658
1222,142.71421999999998,-38.337509999999995,MOYNE,1.38,3,Princes,Highway,3265
1223,145.80196999999998,-36.609559999999995,STRATHBOGIE,2.36,9,Hume,Freeway,3669
1224,144.49626,-36.784240000000004,BENDIGO,1.65,11,Mcivor,Highway,3551
1225,145.86754,-38.53719,SOUTH GIPPSLAND,2.0,9,Bass,Highway,3953
1226,144.56561000000002,-36.77041,BENDIGO,0.0,1,Axedale-toolleen,Road,3551
1227,145.96795,-38.08911,BAW BAW,1.53,9,Bloomfield,Road,3821
1228,142.65775,-38.22087,MOYNE,0.87,4,Hopkins,Highway,3279
1229,146.27815,-37.99799,BAW BAW,0.77,4,Good hope creek,Road,3825
1230,146.01224,-37.52151,MURRINDINDI,0.84,4,Big river,Road,3713
1231,147.46114,-37.093070000000004,EAST GIPPSLAND,0.0,1,High forest,Road,3898
1232,146.06365,-37.17703,MANSFIELD,0.89,5,Howes creek-goughs bay,Road,3723
1233,142.85992,-34.897240000000004,SWAN HILL,0.0,1,Robinvale-sea lake,Road,3549
1234,147.803,-37.777229999999996,EAST GIPPSLAND,1.36,4,Stephenson,Road,3885
1235,143.94088,-36.60123,LODDON,0.53,5,Main,Street,3516
1236,146.09777,-37.998979999999996,BAW BAW,0.0,1,H tree extension,Road,3831
1237,142.99158,-36.37765,BULOKE,1.38,4,Woods,Street,3480
1238,146.35745,-37.81975,BAW BAW,0.0,1,Thomson valley,Road,3833
1239,146.84902,-36.5022,ALPINE,0.0,1,Switchback,Road,3737
1240,145.53264,-36.13062,MOIRA,0.0,1,Drumanure,Road,3636
